model,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
svmLinear_xgbTree,20,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,Sal+mMP7SAL,Sal+cXCL16SAL,C+C_runLengthNonunif,Ser+vECadherinSeru,C+C_highGreyLevelRun,C+C_shortRunLowGrey,Ser+tIMP1Seru,Af+Af_TbSp,demo+Age,Ser+bDNFSeru,Sal+oPGSAL,Ser+tRANCESeru,C+C_longRunLowGreys,C+C_greyLevelNonunif,Ser+angiogeninSeru,C+C_lowGreyLevelRun,Ser+vEGFSeru,Ser+eNA78Seru,Ser+tGFb1Seru,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,clinic+Headache,Af+Af_TbTh,Sal+tGFb1SAL,Sal+angiogeninSAL,Sal+eNA78SAL,Af+Af_entropy,Af+Af_shortRunEmph,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,Af+Af_shortRunLowGrey,Af+Af_lowGreyLevelRun,C+C_longRunEmph,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,clinic+RestlessSleep,Af+Af_BVTV
svmLinear_lda2,5,Ser+eNA78Seru,Af+Af_TbSp,C+C_TbTh,clinic+LowerBackPain,C+C_entropy,Ser+tIMP1Seru,clinic+Headache,Af+Af_greyLevelNonunif,Af+Af_TbN,Af+Af_runLengthNonunif,Ser+vECadherinSeru,Af+Af_shortRunHighGrey,C+C_correlation,Af+Af_shortRunLowGrey,C+C_greyLevelNonunif,C+C_invDiffMoment,Ser+bDNFSeru,C+C_BVTV,clinic+MuscleSore,Af+Af_longRunHighGrey,C+C_BSBV,C+C_TbN,Sal+oPGSAL,C+C_energy,Sal+tIMP1SAL,Sal+cXCL16SAL,Af+Af_BVTV,Af+Af_BSBV,Af+Af_inertia,C+C_shortRunLowGrey,C+C_lowGreyLevelRun,Ser+cXCL16Seru,Sal+tRANCESAL,Sal+vEGFSAL,Sal+vECadherinSAL,C+C_runLengthNonunif,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_shortRunHighGrey
svmLinear_nnet,20,C+C_lowGreyLevelRun,C+C_longRunLowGreys,Sal+tIMP1SAL,Sal+cXCL16SAL,C+C_shortRunLowGrey,C+C_greyLevelNonunif,Af+Af_highGreyLevelRun,Ser+oPGSeru,Af+Af_longRunLowGrey,Af+Af_TbTh,Sal+vECadherinSAL,Ser+eNA78Seru,Ser+vEGFSeru,C+C_highGreyLevelRun,Ser+mMP3Seru,Af+Af_TbN,C+C_BVTV,Af+Af_BVTV,C+C_BSBV,C+C_shortRunHighGrey,Af+Af_BSBV,Af+Af_longRunHighGrey,clinic+MuscleSore,Af+Af_greyLevelNonunif,Af+Af_correlation,Sal+tGFb1SAL,Sal+angiogeninSAL,clinic+RestlessSleep,Ser+tRANCESeru,clinic+MouthOpen,Sal+vEGFSAL,Ser+pAI1Seru,Sal+eNA78SAL,Ser+bDNFSeru,clinic+Headache,clinic+LowerBackPain,Sal+oPGSAL,JS+3D_Sc_Sf_JS,demo+Age,Ser+mMP7Seru
svmLinear_glmboost,5,C+C_runLengthNonunif,C+C_BSBV,Ser+pAI1Seru,Af+Af_shortRunHighGrey,Af+Af_inertia,Af+Af_runLengthNonunif,Af+Af_shortRunLowGrey,Ser+vECadherinSeru,Sal+tRANCESAL,Af+Af_longRunHighGrey,Af+Af_BSBV,Ser+tRANCESeru,C+C_longRunLowGreys,C+C_entropy,Sal+oPGSAL,C+C_shortRunEmph,clinic+MuscleSore,C+C_longRunHighGrey,Af+Af_lowGreyLevelRun,C+C_longRunEmph,C+C_correlation,Af+Af_TbTh,Sal+cXCL16SAL,Sal+tGFb1SAL,C+C_lowGreyLevelRun,Af+Af_longRunLowGrey,clinic+MouthOpen,Ser+cXCL16Seru,C+C_invDiffMoment,clinic+LowerBackPain,demo+Age,C+C_highGreyLevelRun,JS+3D_Sc_Sf_JS,Sal+vEGFSAL,C+C_shortRunHighGrey,Af+Af_TbSp,Sal+angiogeninSAL,Ser+eNA78Seru,clinic+RestlessSleep,clinic+Headache
rf_glmnet,15,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,Af+Af_entropy,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_runLengthNonunif,C+C_lowGreyLevelRun,JS+3D_Sc_Sf_JS,C+C_shortRunLowGrey,C+C_TbSp,C+C_TbTh,C+C_BVTV,C+C_BSBV,C+C_longRunHighGrey,C+C_longRunLowGreys,C+C_TbN,Ser+tGFb1Seru,Sal+oPGSAL,Ser+angiogeninSeru,Sal+angiogeninSAL,Af+Af_greyLevelNonunif,Ser+vEGFSeru,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache
rf_rf,15,C+C_runLengthNonunif,C+C_longRunEmph,C+C_longRunHighGrey,C+C_invDiffMoment,Sal+eNA78SAL,C+C_TbN,C+C_TbSp,Ser+mMP3Seru,Af+Af_runLengthNonunif,Ser+vEGFSeru,Af+Af_shortRunHighGrey,C+C_entropy,Af+Af_shortRunEmph,C+C_shortRunLowGrey,Ser+bDNFSeru,Sal+cXCL16SAL,Af+Af_BVTV,Af+Af_TbSp,Sal+angiogeninSAL,C+C_BSBV,C+C_lowGreyLevelRun,Af+Af_energy,C+C_shortRunHighGrey,Ser+cXCL16Seru,C+C_highGreyLevelRun,Ser+pAI1Seru,Af+Af_longRunLowGrey,clinic+MouthOpen,C+C_correlation,Ser+eNA78Seru,Ser+vECadherinSeru,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,clinic+MuscleSore,Sal+tRANCESAL,Af+Af_TbTh,Af+Af_BSBV,Sal+oPGSAL,clinic+Headache,clinic+LowerBackPain
rf_xgbTree,15,C+C_longRunEmph,C+C_runLengthNonunif,C+C_lowGreyLevelRun,C+C_highGreyLevelRun,C+C_greyLevelNonunif,C+C_BVTV,C+C_longRunHighGrey,Af+Af_shortRunLowGrey,C+C_longRunLowGreys,Ser+tIMP1Seru,C+C_shortRunEmph,Af+Af_greyLevelNonunif,C+C_energy,C+C_entropy,Ser+cXCL16Seru,Sal+tGFb1SAL,Sal+oPGSAL,C+C_shortRunHighGrey,Af+Af_TbN,C+C_correlation,C+C_TbN,Ser+oPGSeru,Af+Af_longRunEmph,Af+Af_longRunLowGrey,Sal+eNA78SAL,Ser+eNA78Seru,C+C_invDiffMoment,Af+Af_highGreyLevelRun,C+C_TbTh,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_runLengthNonunif,C+C_shortRunLowGrey,Ser+angiogeninSeru,Ser+mMP3Seru,clinic+MouthOpen,Af+Af_shortRunEmph,Af+Af_invDiffMoment,clinic+Headache,clinic+LowerBackPain
rf_lda2,10,Af+Af_lowGreyLevelRun,Af+Af_longRunHighGrey,C+C_entropy,clinic+LowerBackPain,Sal+tIMP1SAL,Ser+mMP7Seru,clinic+RestlessSleep,Af+Af_highGreyLevelRun,Ser+tIMP1Seru,Sal+mMP7SAL,C+C_longRunHighGrey,C+C_energy,C+C_greyLevelNonunif,C+C_TbN,C+C_runLengthNonunif,Ser+vECadherinSeru,Ser+angiogeninSeru,Sal+tGFb1SAL,Sal+vEGFSAL,C+C_shortRunLowGrey,Af+Af_BSBV,Af+Af_TbN,C+C_TbTh,C+C_BSBV,C+C_inertia,C+C_TbSp,Af+Af_longRunLowGrey,Sal+oPGSAL,C+C_longRunEmph,C+C_shortRunEmph,Af+Af_invDiffMoment,C+C_shortRunHighGrey,Af+Af_inertia,Af+Af_correlation,clinic+Headache,Sal+vECadherinSAL,C+C_BVTV,Af+Af_shortRunEmph,Af+Af_energy,Af+Af_TbSp
rf_nnet,5,Af+Af_inertia,Ser+vEGFSeru,Af+Af_energy,Ser+mMP3Seru,Af+Af_TbN,C+C_longRunHighGrey,clinic+MuscleSore,Sal+mMP7SAL,Ser+oPGSeru,Sal+vECadherinSAL,Af+Af_highGreyLevelRun,JS+3D_Sc_Sf_JS,C+C_shortRunLowGrey,C+C_greyLevelNonunif,C+C_TbN,Ser+cXCL16Seru,Af+Af_shortRunHighGrey,C+C_BSBV,Ser+pAI1Seru,Ser+tIMP1Seru,Af+Af_greyLevelNonunif,Af+Af_shortRunEmph,Af+Af_BVTV,C+C_BVTV,C+C_highGreyLevelRun,Sal+eNA78SAL,Af+Af_BSBV,Ser+bDNFSeru,C+C_shortRunHighGrey,Sal+tGFb1SAL,Sal+cXCL16SAL,Ser+angiogeninSeru,Sal+oPGSAL,clinic+RestlessSleep,Sal+tIMP1SAL,clinic+MouthOpen,Sal+angiogeninSAL,Ser+eNA78Seru,clinic+LowerBackPain,clinic+Headache
rf_glmboost,15,Ser+mMP7Seru,C+C_shortRunEmph,C+C_TbSp,Af+Af_longRunHighGrey,Ser+mMP3Seru,C+C_TbTh,Sal+tIMP1SAL,Af+Af_inertia,C+C_shortRunLowGrey,Af+Af_energy,Af+Af_invDiffMoment,Ser+angiogeninSeru,demo+Age,Ser+tIMP1Seru,Sal+mMP7SAL,Af+Af_highGreyLevelRun,C+C_entropy,Ser+tRANCESeru,C+C_lowGreyLevelRun,Af+Af_longRunLowGrey,Sal+angiogeninSAL,Sal+vEGFSAL,Ser+bDNFSeru,C+C_correlation,Ser+pAI1Seru,Af+Af_runLengthNonunif,Af+Af_BSBV,Ser+cXCL16Seru,Af+Af_TbN,C+C_BSBV,C+C_longRunLowGreys,clinic+Headache,Af+Af_shortRunHighGrey,clinic+MouthOpen,Sal+oPGSAL,Sal+tRANCESAL,clinic+MuscleSore,clinic+RestlessSleep,C+C_TbN,C+C_shortRunHighGrey
xgbTree_glmnet,15,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,Af+Af_entropy,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_runLengthNonunif,C+C_lowGreyLevelRun,JS+3D_Sc_Sf_JS,C+C_shortRunLowGrey,C+C_TbSp,C+C_TbTh,C+C_BVTV,C+C_BSBV,C+C_longRunHighGrey,C+C_longRunLowGreys,C+C_TbN,Ser+tGFb1Seru,Sal+oPGSAL,Ser+angiogeninSeru,Sal+angiogeninSAL,Af+Af_greyLevelNonunif,Ser+vEGFSeru,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache
xgbTree_rf,20,Af+Af_TbSp,Ser+bDNFSeru,Af+Af_longRunHighGrey,clinic+MouthOpen,Af+Af_TbN,C+C_TbN,Af+Af_runLengthNonunif,Sal+cXCL16SAL,Af+Af_shortRunEmph,Af+Af_invDiffMoment,C+C_longRunHighGrey,C+C_TbTh,Sal+angiogeninSAL,Af+Af_lowGreyLevelRun,Af+Af_greyLevelNonunif,C+C_longRunLowGreys,Af+Af_longRunLowGrey,Ser+mMP7Seru,C+C_correlation,demo+Age,Af+Af_BSBV,Ser+pAI1Seru,Af+Af_highGreyLevelRun,Ser+tRANCESeru,JS+3D_Sc_Sf_JS,Sal+tIMP1SAL,clinic+RestlessSleep,Af+Af_TbTh,clinic+MuscleSore,C+C_energy,C+C_entropy,Sal+oPGSAL,C+C_lowGreyLevelRun,Sal+tRANCESAL,Sal+eNA78SAL,C+C_shortRunHighGrey,Af+Af_shortRunHighGrey,clinic+LowerBackPain,C+C_highGreyLevelRun,clinic+Headache
xgbTree_xgbTree,5,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,Sal+eNA78SAL,C+C_runLengthNonunif,C+C_lowGreyLevelRun,C+C_highGreyLevelRun,C+C_shortRunLowGrey,C+C_shortRunHighGrey,C+C_longRunLowGreys,Sal+angiogeninSAL,C+C_TbTh,Ser+cXCL16Seru,Af+Af_invDiffMoment,Af+Af_runLengthNonunif,C+C_greyLevelNonunif,Sal+tGFb1SAL,Af+Af_greyLevelNonunif,Af+Af_shortRunEmph,Sal+cXCL16SAL,Sal+vECadherinSAL,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Ser+angiogeninSeru,Af+Af_lowGreyLevelRun,Ser+vEGFSeru,C+C_TbN,Sal+oPGSAL,C+C_BVTV,clinic+LowerBackPain,Ser+eNA78Seru,Ser+tGFb1Seru,clinic+Headache,clinic+RestlessSleep,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,Af+Af_longRunHighGrey
xgbTree_lda2,20,C+C_longRunLowGreys,Sal+tGFb1SAL,C+C_inertia,Ser+tIMP1Seru,Sal+angiogeninSAL,Ser+cXCL16Seru,Ser+bDNFSeru,clinic+LowerBackPain,clinic+Headache,demo+Age,Af+Af_entropy,C+C_longRunEmph,Af+Af_TbTh,Ser+tRANCESeru,clinic+MuscleSore,C+C_lowGreyLevelRun,C+C_TbTh,Ser+angiogeninSeru,C+C_BSBV,C+C_TbSp,Af+Af_correlation,C+C_longRunHighGrey,Sal+vEGFSAL,Af+Af_shortRunLowGrey,Af+Af_shortRunEmph,C+C_energy,C+C_shortRunEmph,Sal+vECadherinSAL,C+C_correlation,C+C_runLengthNonunif,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Sal+tRANCESAL,C+C_shortRunLowGrey,Af+Af_greyLevelNonunif,Af+Af_BVTV,Af+Af_longRunHighGrey,Af+Af_BSBV,C+C_shortRunHighGrey,Af+Af_TbSp
xgbTree_nnet,15,clinic+MuscleSore,Af+Af_highGreyLevelRun,Af+Af_longRunEmph,Af+Af_entropy,Af+Af_correlation,Ser+vEGFSeru,Sal+eNA78SAL,Af+Af_shortRunLowGrey,C+C_shortRunLowGrey,clinic+RestlessSleep,Ser+pAI1Seru,Af+Af_lowGreyLevelRun,Af+Af_TbTh,clinic+MouthOpen,C+C_longRunEmph,C+C_BSBV,Sal+vEGFSAL,Af+Af_BVTV,Af+Af_shortRunHighGrey,Ser+mMP3Seru,Ser+tRANCESeru,C+C_TbN,C+C_BVTV,C+C_shortRunHighGrey,Sal+tRANCESAL,Af+Af_TbSp,Ser+bDNFSeru,Sal+oPGSAL,Sal+tIMP1SAL,Sal+mMP7SAL,C+C_highGreyLevelRun,Sal+tGFb1SAL,Ser+angiogeninSeru,Ser+mMP7Seru,Sal+angiogeninSAL,Af+Af_energy,Af+Af_BSBV,Ser+eNA78Seru,clinic+LowerBackPain,clinic+Headache
xgbTree_glmboost,5,C+C_highGreyLevelRun,C+C_shortRunLowGrey,C+C_longRunLowGreys,Ser+mMP3Seru,C+C_shortRunEmph,Ser+pAI1Seru,Sal+angiogeninSAL,C+C_inertia,Ser+tRANCESeru,Ser+tGFb1Seru,Af+Af_BSBV,Af+Af_highGreyLevelRun,Af+Af_entropy,Af+Af_energy,Af+Af_TbN,Sal+cXCL16SAL,Af+Af_invDiffMoment,clinic+MuscleSore,C+C_TbSp,Ser+bDNFSeru,Af+Af_runLengthNonunif,Sal+eNA78SAL,C+C_energy,Af+Af_greyLevelNonunif,Sal+vECadherinSAL,Af+Af_shortRunEmph,Af+Af_BVTV,clinic+LowerBackPain,Ser+angiogeninSeru,Af+Af_TbTh,Ser+vECadherinSeru,Af+Af_TbSp,Af+Af_longRunHighGrey,Ser+vEGFSeru,Sal+oPGSAL,C+C_BSBV,clinic+Headache,Sal+tRANCESAL,Af+Af_longRunLowGrey,clinic+MouthOpen
lda2_glmnet,15,clinic+RestlessSleep,C+C_energy,C+C_entropy,C+C_correlation,Af+Af_energy,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_runLengthNonunif,C+C_invDiffMoment,C+C_TbTh,C+C_shortRunLowGrey,C+C_shortRunHighGrey,C+C_longRunLowGreys,C+C_TbSp,C+C_BVTV,C+C_lowGreyLevelRun,Sal+vECadherinSAL,C+C_TbN,Af+Af_TbN,Ser+tGFb1Seru,Sal+tIMP1SAL,clinic+MouthOpen,Sal+tGFb1SAL,Ser+vEGFSeru,Sal+mMP7SAL,Af+Af_greyLevelNonunif,Sal+eNA78SAL,Sal+tRANCESAL,Sal+oPGSAL,C+C_longRunHighGrey,Sal+angiogeninSAL,C+C_highGreyLevelRun,Ser+eNA78Seru,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Sal+vEGFSAL,clinic+Headache
lda2_rf,20,Af+Af_TbN,Sal+oPGSAL,C+C_TbTh,Ser+cXCL16Seru,Ser+mMP3Seru,Af+Af_shortRunLowGrey,Ser+tIMP1Seru,Ser+bDNFSeru,Sal+mMP7SAL,Af+Af_energy,C+C_shortRunLowGrey,clinic+LowerBackPain,Af+Af_shortRunHighGrey,C+C_invDiffMoment,Ser+angiogeninSeru,C+C_BVTV,C+C_highGreyLevelRun,C+C_entropy,Af+Af_runLengthNonunif,C+C_inertia,Af+Af_longRunEmph,C+C_lowGreyLevelRun,Sal+cXCL16SAL,C+C_shortRunHighGrey,C+C_TbN,clinic+Headache,C+C_correlation,C+C_energy,Sal+eNA78SAL,Af+Af_TbSp,C+C_runLengthNonunif,Af+Af_longRunLowGrey,JS+3D_Sc_Sf_JS,Af+Af_BVTV,Af+Af_lowGreyLevelRun,Af+Af_highGreyLevelRun,clinic+RestlessSleep,Af+Af_BSBV,Af+Af_longRunHighGrey,Af+Af_TbTh
lda2_xgbTree,15,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_TbSp,C+C_highGreyLevelRun,C+C_runLengthNonunif,C+C_BVTV,C+C_shortRunHighGrey,Ser+oPGSeru,Af+Af_shortRunLowGrey,Ser+cXCL16Seru,Ser+vECadherinSeru,Sal+tGFb1SAL,Sal+oPGSAL,Sal+angiogeninSAL,Af+Af_longRunEmph,Ser+tGFb1Seru,Af+Af_highGreyLevelRun,Af+Af_longRunHighGrey,C+C_shortRunLowGrey,Af+Af_energy,Af+Af_TbN,clinic+Headache,Af+Af_TbTh,Af+Af_invDiffMoment,C+C_lowGreyLevelRun,C+C_energy,Af+Af_BVTV,C+C_entropy,Af+Af_shortRunHighGrey,C+C_longRunLowGreys,Ser+eNA78Seru,C+C_longRunHighGrey,Af+Af_shortRunEmph,Af+Af_entropy,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Af+Af_correlation
lda2_lda2,15,Af+Af_shortRunEmph,Sal+angiogeninSAL,C+C_longRunLowGreys,Af+Af_lowGreyLevelRun,Ser+vECadherinSeru,Ser+oPGSeru,Sal+cXCL16SAL,Ser+pAI1Seru,C+C_TbTh,Af+Af_greyLevelNonunif,clinic+MuscleSore,Sal+eNA78SAL,Sal+mMP7SAL,Af+Af_entropy,Af+Af_longRunLowGrey,Af+Af_shortRunLowGrey,Af+Af_invDiffMoment,C+C_shortRunLowGrey,Sal+vEGFSAL,C+C_highGreyLevelRun,C+C_correlation,clinic+MouthOpen,Sal+oPGSAL,Af+Af_BVTV,demo+Age,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey
lda2_nnet,10,Ser+oPGSeru,Ser+eNA78Seru,demo+Age,Ser+vEGFSeru,C+C_entropy,Af+Af_shortRunHighGrey,clinic+LowerBackPain,C+C_longRunLowGreys,Sal+vEGFSAL,Af+Af_TbN,clinic+Headache,Af+Af_longRunHighGrey,C+C_energy,Ser+tGFb1Seru,C+C_shortRunHighGrey,Af+Af_entropy,Sal+tGFb1SAL,C+C_lowGreyLevelRun,Sal+angiogeninSAL,Sal+eNA78SAL,Af+Af_highGreyLevelRun,Ser+bDNFSeru,Af+Af_lowGreyLevelRun,C+C_highGreyLevelRun,Af+Af_invDiffMoment,Ser+angiogeninSeru,Af+Af_energy,Af+Af_BVTV,Af+Af_runLengthNonunif,Ser+vECadherinSeru,C+C_TbTh,Sal+tIMP1SAL,C+C_longRunEmph,Af+Af_greyLevelNonunif,Af+Af_TbSp,C+C_runLengthNonunif,clinic+MuscleSore,Af+Af_BSBV,C+C_TbN,Af+Af_shortRunLowGrey
lda2_glmboost,15,Sal+vECadherinSAL,Sal+tRANCESAL,C+C_energy,C+C_correlation,C+C_invDiffMoment,C+C_TbN,Sal+tGFb1SAL,Ser+mMP3Seru,C+C_runLengthNonunif,C+C_lowGreyLevelRun,C+C_highGreyLevelRun,C+C_shortRunLowGrey,C+C_shortRunHighGrey,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_BVTV,Sal+oPGSAL,C+C_greyLevelNonunif,C+C_entropy,Sal+tIMP1SAL,Sal+mMP7SAL,JS+3D_Sc_Sf_JS,Af+Af_invDiffMoment,demo+Age,Ser+cXCL16Seru,C+C_TbSp,C+C_inertia,C+C_longRunEmph,Ser+vECadherinSeru,Af+Af_TbTh,Sal+eNA78SAL,Af+Af_highGreyLevelRun,Ser+eNA78Seru,C+C_BSBV,C+C_TbTh,Ser+mMP7Seru,Af+Af_BSBV,clinic+RestlessSleep,clinic+MouthOpen,Af+Af_shortRunLowGrey
nnet_glmnet,10,clinic+MuscleSore,clinic+RestlessSleep,C+C_energy,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,Af+Af_entropy,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_runLengthNonunif,JS+3D_Sc_Sf_JS,C+C_TbSp,C+C_TbN,C+C_lowGreyLevelRun,C+C_TbTh,C+C_BVTV,C+C_BSBV,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_shortRunLowGrey,Ser+angiogeninSeru,Af+Af_TbN,Ser+mMP7Seru,Sal+vEGFSAL,Sal+eNA78SAL,clinic+MouthOpen,C+C_shortRunHighGrey,Sal+angiogeninSAL,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache
nnet_rf,15,C+C_longRunEmph,C+C_TbSp,Af+Af_longRunHighGrey,Sal+cXCL16SAL,C+C_BVTV,Af+Af_shortRunLowGrey,Ser+vEGFSeru,C+C_TbTh,Sal+tIMP1SAL,C+C_greyLevelNonunif,C+C_longRunLowGreys,Ser+vECadherinSeru,Af+Af_TbN,Ser+cXCL16Seru,Af+Af_BVTV,Sal+angiogeninSAL,Ser+tIMP1Seru,Sal+tRANCESAL,C+C_BSBV,Ser+pAI1Seru,Af+Af_highGreyLevelRun,C+C_TbN,C+C_energy,Sal+oPGSAL,Af+Af_TbSp,C+C_longRunHighGrey,C+C_shortRunLowGrey,Af+Af_shortRunHighGrey,C+C_lowGreyLevelRun,clinic+MouthOpen,Af+Af_TbTh,Af+Af_longRunLowGrey,C+C_entropy,Af+Af_BSBV,clinic+LowerBackPain,clinic+RestlessSleep,C+C_correlation,C+C_highGreyLevelRun,C+C_shortRunHighGrey,clinic+Headache
nnet_xgbTree,15,clinic+MuscleSore,clinic+RestlessSleep,clinic+MouthOpen,C+C_energy,C+C_invDiffMoment,Af+Af_correlation,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,C+C_runLengthNonunif,JS+3D_Sc_Sf_JS,C+C_BSBV,C+C_highGreyLevelRun,C+C_TbTh,C+C_TbSp,C+C_shortRunHighGrey,C+C_longRunHighGrey,C+C_BVTV,Af+Af_energy,C+C_longRunLowGreys,Ser+mMP3Seru,C+C_shortRunLowGrey,Ser+oPGSeru,Ser+tIMP1Seru,Af+Af_TbTh,Ser+vECadherinSeru,Ser+tGFb1Seru,Sal+mMP7SAL,Ser+mMP7Seru,Af+Af_TbN,C+C_entropy,Ser+eNA78Seru,Sal+oPGSAL,C+C_lowGreyLevelRun,Sal+tGFb1SAL,C+C_greyLevelNonunif,C+C_TbN,clinic+LowerBackPain,clinic+Headache,C+C_correlation
nnet_lda2,15,Af+Af_shortRunEmph,Sal+angiogeninSAL,C+C_longRunLowGreys,Af+Af_lowGreyLevelRun,Ser+vECadherinSeru,Ser+oPGSeru,Sal+cXCL16SAL,Ser+pAI1Seru,C+C_TbTh,Af+Af_greyLevelNonunif,clinic+MuscleSore,Sal+eNA78SAL,Sal+mMP7SAL,Af+Af_entropy,Af+Af_longRunLowGrey,Af+Af_shortRunLowGrey,Af+Af_invDiffMoment,C+C_shortRunLowGrey,Sal+vEGFSAL,C+C_highGreyLevelRun,C+C_correlation,clinic+MouthOpen,Sal+oPGSAL,Af+Af_BVTV,demo+Age,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey
nnet_nnet,15,C+C_longRunHighGrey,Sal+cXCL16SAL,C+C_TbN,C+C_TbTh,C+C_greyLevelNonunif,Af+Af_shortRunEmph,JS+3D_Sc_Sf_JS,Af+Af_greyLevelNonunif,C+C_BSBV,Af+Af_entropy,C+C_lowGreyLevelRun,Af+Af_invDiffMoment,Af+Af_energy,Ser+tRANCESeru,Af+Af_runLengthNonunif,clinic+RestlessSleep,Af+Af_TbN,Ser+angiogeninSeru,Sal+tIMP1SAL,Af+Af_BVTV,C+C_highGreyLevelRun,Sal+vEGFSAL,C+C_BVTV,Sal+tRANCESAL,clinic+MouthOpen,C+C_shortRunHighGrey,Sal+angiogeninSAL,Sal+eNA78SAL,Ser+vEGFSeru,Sal+mMP7SAL,C+C_shortRunLowGrey,Ser+eNA78Seru,Af+Af_correlation,Ser+bDNFSeru,Sal+tGFb1SAL,Af+Af_longRunEmph,Af+Af_BSBV,Sal+oPGSAL,clinic+LowerBackPain,clinic+Headache
nnet_glmboost,15,Af+Af_runLengthNonunif,C+C_greyLevelNonunif,C+C_longRunEmph,Af+Af_inertia,C+C_invDiffMoment,C+C_correlation,C+C_highGreyLevelRun,C+C_shortRunLowGrey,C+C_entropy,C+C_longRunLowGreys,C+C_inertia,C+C_longRunHighGrey,clinic+MouthOpen,C+C_TbSp,clinic+RestlessSleep,Af+Af_energy,Af+Af_entropy,Af+Af_correlation,C+C_BVTV,C+C_shortRunEmph,Af+Af_longRunEmph,clinic+LowerBackPain,clinic+MuscleSore,C+C_runLengthNonunif,Af+Af_invDiffMoment,Sal+cXCL16SAL,C+C_energy,C+C_shortRunHighGrey,C+C_TbTh,C+C_TbN,JS+3D_Sc_Sf_JS,C+C_BSBV,Ser+vEGFSeru,Ser+tIMP1Seru,Sal+vEGFSAL,C+C_lowGreyLevelRun,Ser+cXCL16Seru,Sal+tRANCESAL,clinic+Headache,Ser+oPGSeru
